License_Number,License_State,License_Type,License_Status,Issue_Date,Expiration_Date,Days_Until_Expiration,Renewal_Cycle_Months,Provider_ID,Provider_NPI,Provider_First_Name,Provider_Last_Name,Provider_Email,Provider_Specialty,Provider_Role,Total_CME_Hours_Required,CME_Renewal_Period_Months,Min_Category1_Hours,Max_Category2_Hours,Opioid_Hours_Required,Pain_Management_Hours_Required,Ethics_Hours_Required,Other_Special_Topics,Compliance_Status,Total_Hours_Required,Total_Hours_Completed,Completion_Percentage,State_Code,Board_Type,Rollover_Allowed,Max_Rollover_Hours
AZ-MD-101885,AZ,MD,active,9/29/2020,5/18/2026,180,24,edc52402-e3ad-4bd1-a9f4-a95d8eb535f6,9051480099,Zachary,Dixon,prov.md23@example.com,Gastroenterology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
AZ-MD-159893,AZ,MD,expired,1/8/2021,1/18/2022,-1401,12,9be641ca-b830-458f-8ea5-4a107ae761f3,,Thomas,Cooper,provider.md7@example.com,Ophthalmology,provider,40,24,40,,6,0,0,,On Track,40,32,80.00%,AZ-M,MEDICAL,No,
AZ-MD-266719,AZ,MD,expired,1/16/2024,3/29/2025,-235,36,421477f2-b7f4-4831-bee2-8f5cba0a3a1b,,Richard,Browning,provider.md32@example.com,Radiology,provider,40,24,40,,6,0,0,,At Risk,40,12,30.00%,AZ-M,MEDICAL,No,
AZ-MD-314828,AZ,MD,expired,6/9/2022,4/3/2024,-595,12,3921ba50-8c82-4248-b4bc-4d72b33d9c02,,William,Scott,provider.md29@example.com,Urology,provider,40,24,40,,6,0,0,,Behind,40,23,57.50%,AZ-M,MEDICAL,No,
AZ-MD-381357,AZ,MD,expired,6/7/2022,3/29/2024,-600,24,3b602b59-34e9-4d9b-9c16-b0dac48c4e6e,,Pamela,Evans,provider.md52@example.com,Surgery,provider,40,24,40,,6,0,0,,Behind,40,22,55.00%,AZ-M,MEDICAL,No,
AZ-MD-388210,AZ,MD,expired,2/3/2021,11/22/2022,-1093,24,a4a924da-bfde-44f0-8076-3662a3792a32,,Jonathan,Simpson,provider.md53@example.com,Orthopedics,provider,40,24,40,,6,0,0,,On Track,40,32,80.00%,AZ-M,MEDICAL,No,
AZ-MD-770633,AZ,MD,expired,2/15/2023,11/22/2024,-362,36,1c604010-4f1e-4f91-a021-1a373500a241,,Patricia,Dominguez,provider.md35@example.com,Anesthesiology,provider,40,24,40,,6,0,0,,On Track,40,30,75.00%,AZ-M,MEDICAL,No,
AZ-MD-774809,AZ,MD,active,9/22/2024,11/19/2025,0,12,0c69b58a-30eb-4989-98b9-574dce26f6d4,,Hannah,Carter,provider.md27@example.com,Cardiology,provider,40,24,40,,6,0,0,,On Track,40,30,75.00%,AZ-M,MEDICAL,No,
AZ-MD-786153,AZ,MD,expired,12/27/2020,4/2/2022,-1327,36,c73b3fce-0a9c-425a-9347-328ee7ba516c,,Aaron,Hogan,provider.md8@example.com,Surgery,provider,40,24,40,,6,0,0,,Behind,40,22,55.00%,AZ-M,MEDICAL,No,
AZ-MD-831897,AZ,MD,expired,4/29/2024,7/27/2025,-115,36,0bdcae8f-075e-4f0f-a68d-f1be2a18dd40,,Megan,Hernandez,provider.md55@example.com,Obstetrics and Gynecology,provider,40,24,40,,6,0,0,,Behind,40,24,60.00%,AZ-M,MEDICAL,No,
AZ-MD-901736,AZ,MD,active,1/17/2021,1/18/2026,60,24,bf89567f-e7ec-4f88-9962-76df691e69f6,3165108795,Thomas,Cox,prov.md34@example.com,Internal Medicine,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
AZ-MD-937862,AZ,MD,expired,12/21/2020,9/18/2022,-1158,12,181b839a-399b-461f-88d9-cf8af0afd29f,,Samuel,Oliver,provider.md30@example.com,Urology,provider,40,24,40,,6,0,0,,On Track,40,31,77.50%,AZ-M,MEDICAL,No,
AZ-MD-986123,AZ,MD,expired,7/10/2021,9/17/2022,-1159,12,ed410ca8-9080-4669-bb2e-2db9ccde6694,,Tammy,Jones,provider.md11@example.com,Psychiatry,provider,40,24,40,,6,0,0,,Compliant,40,43,107.50%,AZ-M,MEDICAL,No,
AZDO30922,AZ,DO,active,6/30/2024,3/8/2028,840,24,e8bd5222-3209-417a-9591-f9ab57fc11d5,3559026444,Rodney,James,prov.do43@example.com,Orthopedics,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
AZDO47178,AZ,DO,active,1/30/2022,11/3/2028,1080,24,80c12e21-9369-455d-9f6e-378f88c14507,9158068667,Phillip,Morales,prov.do44@example.com,Cardiology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
AZDO79434,AZ,DO,active,5/20/2022,5/18/2026,180,24,6c9bf46c-0d31-4ca2-a2bd-a8cb34ffd5fd,6273968943,Robert,Lane,prov.do9@example.com,Radiology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
AZMD37628,AZ,MD,active,10/6/2022,5/13/2027,540,24,cf744110-c233-4708-8fac-f827cbcd3ea2,7700207593,John,Adams,prov.md10@example.com,Cardiology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
AZMD84296,AZ,MD,inactive,1/5/2024,10/4/2028,1050,24,6f5c342b-d3f0-4d06-96ba-4adb79528fed,7985248328,Lisa,Hernandez,prov.md14@example.com,Obstetrics and Gynecology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
AZMD91641,AZ,MD,active,11/13/2021,12/9/2027,750,24,55e1600c-cc6c-4b23-9808-621d9007f957,4925985880,Kyle,Anderson,prov.md3@example.com,Family Medicine,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
DO481699,AZ,DO,suspended,5/6/2024,7/12/2027,600,24,65782f59-d524-4d08-927a-cee6f393b8a0,3881953186,Dawn,Mendez,prov.do24@example.com,Ophthalmology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
DO545881,AZ,DO,suspended,6/21/2023,3/19/2026,120,24,d011e1a7-0054-4bf4-9a10-030399a7e665,1577119527,Julie,Griffin,prov.do38@example.com,Obstetrics and Gynecology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
DO545941,AZ,DO,active,10/12/2020,9/4/2028,1020,24,486c8135-e4b9-4bd3-a12c-de67b8eee975,5029556670,Robert,Joseph,prov.do32@example.com,Obstetrics and Gynecology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
DO645633,AZ,DO,active,1/26/2021,9/10/2027,660,24,fdc36368-82e2-460a-8ff7-2b462541c8f5,3379020787,Lisa,Dalton,prov.do28@example.com,Surgery,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
DO756288,AZ,DO,active,4/3/2020,8/16/2026,270,24,f48a91c5-98fa-4545-abd9-1a118d520732,8249656514,Christopher,Wagner,prov.do11@example.com,Neurology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
DO894346,AZ,DO,active,6/13/2024,4/13/2027,510,24,6ded9aa7-c79f-47fb-832c-4829d5a77627,9972773817,Ian,Miller,prov.do4@example.com,Family Medicine,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
DO902143,AZ,DO,suspended,7/6/2024,5/18/2026,180,24,a6e74de8-bb66-49cd-bd25-5c4d6204e7ce,3959395314,Travis,Warren,prov.do13@example.com,Radiology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
MD236599,AZ,MD,active,9/6/2020,6/6/2028,930,24,699b9650-db4c-45fe-b3b2-197a189be0b6,4593839774,Chelsea,Miles,prov.md19@example.com,Orthopedics,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
MD272842,AZ,MD,expired,5/1/2021,2/17/2026,90,24,1b2754c8-f9be-40af-87d8-1c9b5ea44258,6833188865,Shirley,Cameron,prov.md7@example.com,Orthopedics,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
MD513046,AZ,MD,active,8/5/2024,1/18/2026,60,24,c2c8ad8f-f8fe-4279-97f0-1296de7d5601,9369812830,Ashley,Moody,prov.md2@example.com,Dermatology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
MD599076,AZ,MD,active,2/11/2023,9/4/2028,1020,24,d6b2acd1-1527-459d-880d-9d5cf1549c44,2056834210,Cindy,Castro,prov.md12@example.com,Dermatology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
MD972799,AZ,MD,active,5/21/2022,10/15/2026,330,24,378ff3f0-8aff-4f36-8e30-b84dfa14ca33,7075058915,Nicole,Greene,prov.md5@example.com,Psychiatry,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
CA-DO-366343,CA,DO,active,3/9/2020,11/14/2026,360,24,8190db3e-04d8-4848-960c-ede8d550e3c6,6332313989,Jonathan,Bridges,prov.do17@example.com,Anesthesiology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CA-DO-771264,CA,DO,expired,7/17/2022,11/17/2023,-733,12,e1013f46-b7b3-4b86-8658-444699b06766,,Joyce,Kline,provider.do40@example.com,Urology,provider,50,24,50,,0,12,0,,Behind,50,30,60.00%,CA-M,MEDICAL,No,
CA-DO-905140,CA,DO,expired,7/24/2022,9/3/2023,-808,36,e12c55c0-71f8-4678-964c-7ef930c6bb1c,,Richard,Perry,provider.do59@example.com,Gastroenterology,provider,50,24,50,,0,12,0,,Behind,50,29,58.00%,CA-M,MEDICAL,No,
CA-DO-979374,CA,DO,active,9/27/2020,2/7/2028,810,24,8495a3ca-7b4e-40f1-857e-f1f031bae25c,2878302583,Mary,Williams,prov.do26@example.com,Ophthalmology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CA-MD-122677,CA,MD,expired,5/23/2022,6/9/2023,-894,36,599d451b-76e8-4ed3-87d3-8022401c259d,,Dale,Torres,provider.md14@example.com,Emergency Medicine,provider,50,24,50,,0,12,0,,Behind,50,32,64.00%,CA-M,MEDICAL,No,
CA-MD-222185,CA,MD,active,9/21/2022,3/19/2026,120,24,699b9650-db4c-45fe-b3b2-197a189be0b6,4593839774,Chelsea,Miles,prov.md19@example.com,Orthopedics,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CA-MD-377453,CA,MD,expired,4/29/2022,7/19/2023,-854,36,a7a20762-a155-488d-b355-3f4d8ab1273c,,Lynn,Mitchell,provider.md38@example.com,Orthopedics,provider,50,24,50,,0,12,0,,At Risk,50,15,30.00%,CA-M,MEDICAL,No,
CA-MD-379901,CA,MD,expired,12/14/2022,11/3/2024,-381,36,07eb2b88-7834-4ad1-9dc4-a71b020e47c4,,Michelle,Goodwin,provider.md42@example.com,Obstetrics and Gynecology,provider,50,24,50,,0,12,0,,At Risk,50,18,36.00%,CA-M,MEDICAL,No,
CA-MD-410422,CA,MD,expired,1/22/2021,10/17/2022,-1129,36,8ad6ab8c-e769-4764-936b-53652e135f2d,,James,Williams,provider.md13@example.com,Cardiology,provider,50,24,50,,0,12,0,,Behind,50,37,74.00%,CA-M,MEDICAL,No,
CA-MD-474952,CA,MD,expired,3/5/2021,5/28/2022,-1271,36,c66ca71c-d3d8-4d14-9562-369dce9dda68,,Erica,Wilson,provider.md39@example.com,Psychiatry,provider,50,24,50,,0,12,0,,At Risk,50,9,18.00%,CA-M,MEDICAL,No,
CA-MD-480289,CA,MD,active,6/22/2021,2/7/2028,810,24,c2c8ad8f-f8fe-4279-97f0-1296de7d5601,9369812830,Ashley,Moody,prov.md2@example.com,Dermatology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CA-MD-502105,CA,MD,expired,10/19/2024,11/3/2025,-16,12,677628d7-ecc7-4884-985e-885539f4839b,,Donald,Mcneil,provider.md45@example.com,Pediatrics,provider,50,24,50,,0,12,0,,At Risk,50,10,20.00%,CA-M,MEDICAL,No,
CA-MD-626171,CA,MD,expired,3/21/2023,8/15/2024,-461,12,7556f2a2-022b-461d-b0e7-c2c204ab2226,,Jonathan,Taylor,provider.md41@example.com,Anesthesiology,provider,50,24,50,,0,12,0,,Behind,50,36,72.00%,CA-M,MEDICAL,No,
CA-MD-644272,CA,MD,expired,10/11/2022,11/26/2023,-724,36,c6bc2a70-0c6d-4679-930c-7bb0d54a39af,,Patrick,Fox,provider.md58@example.com,Surgery,provider,50,24,50,,0,12,0,,At Risk,50,24,48.00%,CA-M,MEDICAL,No,
CA-MD-652335,CA,MD,expired,12/28/2020,6/19/2022,-1249,36,2401b2c7-92c2-4238-824f-bf0810880f28,,Elijah,Rodriguez,provider.md15@example.com,Psychiatry,provider,50,24,50,,0,12,0,,At Risk,50,21,42.00%,CA-M,MEDICAL,No,
CA-MD-686820,CA,MD,active,6/15/2024,2/25/2026,98,36,7649a46f-c884-46eb-881c-dcea4ed0f7de,,Benjamin,Myers,provider.md56@example.com,Neurology,provider,50,24,50,,0,12,0,,Behind,50,25,50.00%,CA-M,MEDICAL,No,
CA-MD-752943,CA,MD,active,9/4/2021,7/6/2028,960,24,55e1600c-cc6c-4b23-9808-621d9007f957,4925985880,Kyle,Anderson,prov.md3@example.com,Family Medicine,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CA-MD-791816,CA,MD,active,9/29/2024,3/10/2026,111,24,4d8d2355-229b-4027-a5ba-8f24077f647f,,Monique,Williams,provider.md36@example.com,Cardiology,provider,50,24,50,,0,12,0,,Behind,50,33,66.00%,CA-M,MEDICAL,No,
CA-MD-801436,CA,MD,expired,9/20/2023,8/19/2025,-92,36,f2a59d49-fdad-4df1-8368-74b609973b5f,,Elizabeth,Collier,provider.md60@example.com,Ophthalmology,provider,50,24,50,,0,12,0,,At Risk,50,12,24.00%,CA-M,MEDICAL,No,
CA-MD-820286,CA,MD,expired,12/30/2022,12/29/2024,-325,24,c3fb642a-421c-46a4-a90c-f3c19fbe67f9,,Rebecca,Evans,provider.md44@example.com,Family Medicine,provider,50,24,50,,0,12,0,,Behind,50,34,68.00%,CA-M,MEDICAL,No,
CA-MD-861145,CA,MD,expired,10/26/2022,3/31/2024,-598,24,d4b6eaed-d06d-431b-8d9e-07b8b9000310,,Shari,Lowery,provider.md57@example.com,Internal Medicine,provider,50,24,50,,0,12,0,,On Track,50,46,92.00%,CA-M,MEDICAL,No,
CA-MD-879605,CA,MD,active,10/6/2024,2/10/2026,83,12,207dc7da-4675-4518-9440-75866fb5cf9b,,Tiffany,Walters,provider.md43@example.com,Ophthalmology,provider,50,24,50,,0,12,0,,On Track,50,42,84.00%,CA-M,MEDICAL,No,
CA-MD-992190,CA,MD,expired,11/9/2023,3/29/2025,-235,24,7915d2bf-201e-4073-9560-dd44f9487e0d,,John,Parks,provider.md37@example.com,Orthopedics,provider,50,24,50,,0,12,0,,At Risk,50,23,46.00%,CA-M,MEDICAL,No,
CADO15892,CA,DO,expired,6/4/2023,10/4/2028,1050,24,a6e74de8-bb66-49cd-bd25-5c4d6204e7ce,3959395314,Travis,Warren,prov.do13@example.com,Radiology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CADO58552,CA,DO,expired,1/13/2023,2/7/2028,810,24,ee421a02-2db1-4d9e-a25c-ce69e1f021d4,4165621560,Katelyn,Luna,prov.do21@example.com,Urology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CADO61321,CA,DO,active,4/17/2021,2/7/2028,810,24,9b323a4b-7dba-473c-a06b-ae4f422f519b,9267002610,Brian,Valenzuela,prov.do8@example.com,Radiology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CADO74079,CA,DO,inactive,9/26/2020,8/5/2028,990,24,f48a91c5-98fa-4545-abd9-1a118d520732,8249656514,Christopher,Wagner,prov.do11@example.com,Neurology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CADO81216,CA,DO,expired,4/22/2022,12/19/2025,30,24,b71e7000-d968-4179-9ce5-5308b3bda9bf,9744453962,Kathleen,Grimes,prov.do45@example.com,Urology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CADO91881,CA,DO,active,5/6/2021,2/17/2026,90,24,6c9bf46c-0d31-4ca2-a2bd-a8cb34ffd5fd,6273968943,Robert,Lane,prov.do9@example.com,Radiology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CAMD16008,CA,MD,active,12/8/2021,6/17/2026,210,24,cf744110-c233-4708-8fac-f827cbcd3ea2,7700207593,John,Adams,prov.md10@example.com,Cardiology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CAMD46572,CA,MD,active,4/9/2021,12/9/2027,750,24,ed4b8322-c7c7-42fc-8558-b07c90fe2587,7208960676,Mary,Walker,prov.md27@example.com,Emergency Medicine,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CAMD49212,CA,MD,inactive,8/1/2024,5/18/2026,180,24,6f5c342b-d3f0-4d06-96ba-4adb79528fed,7985248328,Lisa,Hernandez,prov.md14@example.com,Obstetrics and Gynecology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CAMD63305,CA,MD,suspended,2/5/2023,3/19/2026,120,24,a2598c2d-7e29-4c12-aa87-ef9bb43d86d1,6612319776,Daniel,Ingram,prov.md41@example.com,Gastroenterology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CAMD83225,CA,MD,active,10/30/2023,12/9/2027,750,24,d6b2acd1-1527-459d-880d-9d5cf1549c44,2056834210,Cindy,Castro,prov.md12@example.com,Dermatology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CAMD92231,CA,MD,active,1/13/2022,7/17/2026,240,24,1b95c543-bae1-4ae6-b55d-58a2daeafb54,4548152315,Erica,Brown,prov.md20@example.com,Pediatrics,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
DO505782,CA,DO,active,1/14/2020,1/13/2027,420,24,6ded9aa7-c79f-47fb-832c-4829d5a77627,9972773817,Ian,Miller,prov.do4@example.com,Family Medicine,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
DO621085,CA,DO,active,1/3/2024,12/19/2025,30,24,1eff1e99-d34b-480f-b49f-d675c98e8909,8291031509,Laura,Herring,prov.do1@example.com,Urology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
DO661775,CA,DO,active,5/8/2023,12/19/2025,30,24,a6e3f7ad-9cfb-43f0-969e-1cfb19a8cce1,8980571910,Kathy,Vaughan,prov.do16@example.com,Family Medicine,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
DO675993,CA,DO,inactive,7/16/2022,3/19/2026,120,24,f5b61032-7c43-4e58-9b86-2f45675319fd,2727160142,Kathleen,Rivera,prov.do15@example.com,Psychiatry,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
MD111728,CA,MD,expired,12/10/2020,9/15/2026,300,24,6dd2a6e7-af90-448e-aa27-35f21a8335b1,4740331542,Connie,Johnson,prov.md25@example.com,Anesthesiology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
MD147223,CA,MD,expired,5/3/2021,3/19/2026,120,24,2efe963a-1747-441f-89a6-746cb2d1bf33,8778511591,Maureen,Baker,prov.md18@example.com,Anesthesiology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
MD278186,CA,MD,inactive,8/24/2023,11/9/2027,720,24,edc52402-e3ad-4bd1-a9f4-a95d8eb535f6,9051480099,Zachary,Dixon,prov.md23@example.com,Gastroenterology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
MD517102,CA,MD,active,5/18/2023,9/10/2027,660,24,9db194fb-abd5-45eb-9b37-ef8a067571be,4790960701,Kevin,Lee,prov.md22@example.com,Obstetrics and Gynecology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
MD635925,CA,MD,inactive,5/21/2023,8/5/2028,990,24,a6cff191-d89f-4dab-98e3-140fbdfa5cb5,5519457723,Morgan,Webster,prov.md6@example.com,Radiology,provider,50,24,50,,0,12,0,,No Data,0,0,0.00%,CA-M,MEDICAL,No,
CO-DO-852463,CO,DO,expired,2/4/2023,1/25/2025,-298,24,6652b0a4-d8d3-4fcf-b2cf-56ff36d8d99d,,Taylor,Allen,provider.do63@example.com,Family Medicine,provider,,,,,0,0,0,,No Requirements,0,14,100.00%,,,No,
CO-MD-173343,CO,MD,expired,4/14/2023,6/29/2024,-508,24,f6ae0f6c-a7ca-404f-95c2-6b34f512e337,,Phillip,Blackburn,provider.md62@example.com,Dermatology,provider,,,,,0,0,0,,No Requirements,0,28,100.00%,,,No,
CO-MD-495165,CO,MD,expired,9/12/2021,5/12/2023,-922,12,b56da755-f114-4735-85c6-c1c6376bb655,,Kurt,Miller,provider.md65@example.com,Urology,provider,,,,,0,0,0,,No Requirements,0,24,100.00%,,,No,
CO-MD-507197,CO,MD,expired,12/29/2021,2/1/2023,-1022,36,64d6e682-076b-43c6-9015-dd8d0e6fb00b,,Jean,Bennett,provider.md61@example.com,Neurology,provider,,,,,0,0,0,,No Requirements,0,39,100.00%,,,No,
CO-MD-731957,CO,MD,expired,3/17/2023,9/13/2024,-432,36,5dd1327e-f045-48e2-b838-9c46eeebb141,,Angela,Lopez,provider.md64@example.com,Orthopedics,provider,,,,,0,0,0,,No Requirements,0,19,100.00%,,,No,
CODO37028,CO,DO,active,7/11/2022,5/18/2026,180,24,a6e3f7ad-9cfb-43f0-969e-1cfb19a8cce1,8980571910,Kathy,Vaughan,prov.do16@example.com,Family Medicine,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
CODO79846,CO,DO,inactive,6/16/2020,5/18/2026,180,24,8190db3e-04d8-4848-960c-ede8d550e3c6,6332313989,Jonathan,Bridges,prov.do17@example.com,Anesthesiology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
COMD84322,CO,MD,active,4/7/2020,10/4/2028,1050,24,0a6ba225-09b4-4023-86cf-3256442c550d,2731953081,Jamie,Mcpherson,prov.md29@example.com,Orthopedics,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
DO276519,CO,DO,active,9/23/2021,3/8/2028,840,24,cc54f874-87fd-457c-b0b8-8b1495feb0af,8572189496,Savannah,Brooks,prov.do42@example.com,Psychiatry,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
DO491898,CO,DO,active,4/15/2024,1/13/2027,420,24,f5b61032-7c43-4e58-9b86-2f45675319fd,2727160142,Kathleen,Rivera,prov.do15@example.com,Psychiatry,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
MD609434,CO,MD,active,2/6/2024,12/14/2026,390,24,0ad23beb-9aaa-4c4e-bc47-d4a2c1751e18,5480186396,Joe,Parker,prov.md37@example.com,Pediatrics,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
CT-DO-655334,CT,DO,active,6/1/2022,7/17/2026,240,24,a6e3f7ad-9cfb-43f0-969e-1cfb19a8cce1,8980571910,Kathy,Vaughan,prov.do16@example.com,Family Medicine,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
CT-MD-155955,CT,MD,expired,9/20/2021,9/26/2022,-1150,12,8fd21133-43d9-40f3-809f-9bbf492c3ef4,,Xavier,Barrera,provider.md66@example.com,Urology,provider,,,,,0,0,0,,No Requirements,0,19,100.00%,,,No,
CT-MD-419501,CT,MD,expired,11/19/2022,6/15/2024,-522,24,7e140187-d08d-45ed-b155-76119bb2cec0,,William,Bryant,provider.md68@example.com,Psychiatry,provider,,,,,0,0,0,,No Requirements,0,35,100.00%,,,No,
CT-MD-572234,CT,MD,expired,11/30/2023,10/8/2025,-42,36,89b40c45-d3e9-4dce-becb-29ec211fa68d,,Carol,David,provider.md69@example.com,Cardiology,provider,,,,,0,0,0,,No Requirements,0,31,100.00%,,,No,
CT-MD-645405,CT,MD,expired,3/23/2022,7/24/2023,-849,36,c036391a-db05-4119-8b96-63c98473bbb4,,Kenneth,Davis,provider.md70@example.com,Anesthesiology,provider,,,,,0,0,0,,No Requirements,0,34,100.00%,,,No,
CT-MD-954827,CT,MD,expired,6/2/2022,7/29/2023,-844,36,e1263893-b174-4fd4-bab7-9b5d17d260f8,,Stephen,Keller,provider.md67@example.com,Psychiatry,provider,,,,,0,0,0,,No Requirements,0,8,100.00%,,,No,
CTDO25699,CT,DO,active,4/12/2020,8/16/2026,270,24,486c8135-e4b9-4bd3-a12c-de67b8eee975,5029556670,Robert,Joseph,prov.do32@example.com,Obstetrics and Gynecology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
CTDO62279,CT,DO,active,8/28/2024,10/4/2028,1050,24,8190db3e-04d8-4848-960c-ede8d550e3c6,6332313989,Jonathan,Bridges,prov.do17@example.com,Anesthesiology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
DE-DO-251050,DE,DO,expired,1/29/2020,3/19/2026,120,24,2fa889b2-0a0e-42ce-b6e8-5eb9b0533b6c,7865430637,Christopher,Grant,prov.do35@example.com,Pediatrics,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
DE-DO-643681,DE,DO,active,4/8/2020,11/3/2028,1080,24,cc54f874-87fd-457c-b0b8-8b1495feb0af,8572189496,Savannah,Brooks,prov.do42@example.com,Psychiatry,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
DE-MD-275489,DE,MD,expired,11/11/2021,11/15/2022,-1100,12,79158283-f50f-4d56-8a5e-4773d91116e4,,John,Chambers,provider.md74@example.com,Anesthesiology,provider,,,,,0,0,0,,No Requirements,0,27,100.00%,,,No,
DE-MD-553271,DE,MD,expired,12/15/2021,12/10/2023,-710,36,07b2cc72-ba22-4f20-b54d-94177212dd89,,Jacob,Holland,provider.md75@example.com,Internal Medicine,provider,,,,,0,0,0,,No Requirements,0,27,100.00%,,,No,
DE-MD-721164,DE,MD,expired,12/26/2022,10/16/2024,-399,24,1eaf3b8f-a420-48b0-b851-b9de5401daee,,Anna,Castillo,provider.md71@example.com,Internal Medicine,provider,,,,,0,0,0,,No Requirements,0,34,100.00%,,,No,
DE-MD-943211,DE,MD,expired,5/6/2021,10/6/2022,-1140,24,2d077673-7f24-44fb-a1f3-dd1d56337a53,,Jeffrey,Calderon,provider.md72@example.com,Neurology,provider,,,,,0,0,0,,No Requirements,0,27,100.00%,,,No,
DE-MD-947628,DE,MD,expired,4/20/2022,10/9/2023,-772,12,c51b602a-659d-4e48-8398-399d0934624c,,Terri,Juarez,provider.md73@example.com,Internal Medicine,provider,,,,,0,0,0,,No Requirements,0,10,100.00%,,,No,
DEDO79689,DE,DO,active,11/26/2023,5/18/2026,180,24,a6e3f7ad-9cfb-43f0-969e-1cfb19a8cce1,8980571910,Kathy,Vaughan,prov.do16@example.com,Family Medicine,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
